T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2011-2012

"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2011-2012",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Female",820
"2011-2012",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Male",750
"2011-2012",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Female",506
"2011-2012",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Male",445
"2011-2012",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Female",142
"2011-2012",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Male",154
"2011-2012",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Female",360
"2011-2012",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Male",407
"2011-2012",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Female",8378
"2011-2012",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Male",8799
"2011-2012",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Female",532
"2011-2012",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Male",602
"2011-2012",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Female",378
"2011-2012",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Male",379
"2011-2012",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Female",99
"2011-2012",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Male",89
"2011-2012",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Female",255
"2011-2012",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Male",282
"2011-2012",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Female",131
"2011-2012",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Male",127
"2011-2012",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Female",69
"2011-2012",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Male",61
"2011-2012",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Female",858
"2011-2012",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Male",845
"2011-2012",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Female",190
"2011-2012",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Male",181
"2011-2012",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Female",2377
"2011-2012",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Male",2428
"2011-2012",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Female",416
"2011-2012",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Male",450
"2011-2012",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Female",259
"2011-2012",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Male",243
"2011-2012",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Female",31327
"2011-2012",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Male",32973
"2011-2012",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Female",2236
"2011-2012",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Male",2448
"2011-2012",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Female",2639
"2011-2012",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Male",2803
"2011-2012",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Female",21830
"2011-2012",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Male",23580
"2011-2012",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Female",146
"2011-2012",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Male",134
"2011-2012",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Female",9471
"2011-2012",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Male",10034
"2011-2012",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Female",61
"2011-2012",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Male",83
"2011-2012",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Female",520
"2011-2012",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Male",588
"2011-2012",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Female",329
"2011-2012",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Male",338
"2011-2012",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Female",1579
"2011-2012",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Male",1769
"2011-2012",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Female",8855
"2011-2012",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Male",9354
"2011-2012",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Female",358
"2011-2012",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Male",363
"2011-2012",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Female",16083
"2011-2012",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Male",16912
"2011-2012",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Female",119
