T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2013-2014

"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2013-2014",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Female",1073
"2013-2014",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Male",918
"2013-2014",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Female",528
"2013-2014",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Male",467
"2013-2014",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Female",132
"2013-2014",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Male",137
"2013-2014",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Female",364
"2013-2014",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Male",404
"2013-2014",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Female",8392
"2013-2014",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Male",8937
"2013-2014",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Female",85
"2013-2014",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Male",450
"2013-2014",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Female",605
"2013-2014",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Male",666
"2013-2014",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Female",355
"2013-2014",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Male",347
"2013-2014",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Female",97
"2013-2014",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Male",89
"2013-2014",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Female",267
"2013-2014",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Male",336
"2013-2014",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Female",126
"2013-2014",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Male",124
"2013-2014",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Female",69
"2013-2014",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Male",55
"2013-2014",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Female",802
"2013-2014",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Male",828
"2013-2014",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Female",195
"2013-2014",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Male",186
"2013-2014",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Female",2356
"2013-2014",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Male",2472
"2013-2014",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Female",399
"2013-2014",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Male",444
"2013-2014",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Female",251
"2013-2014",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Male",246
"2013-2014",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Female",32880
"2013-2014",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Male",34501
"2013-2014",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Female",2381
"2013-2014",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Male",2493
"2013-2014",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Female",2608
"2013-2014",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Male",2805
"2013-2014",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Female",22229
"2013-2014",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Male",24029
"2013-2014",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Female",139
"2013-2014",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Male",144
"2013-2014",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Female",9883
"2013-2014",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Male",10498
"2013-2014",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Female",52
"2013-2014",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Male",64
"2013-2014",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Female",497
"2013-2014",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Male",552
"2013-2014",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Female",321
"2013-2014",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Male",328
"2013-2014",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Female",1611
"2013-2014",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Male",1853
"2013-2014",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Female",9614
"2013-2014",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Male",10195
"2013-2014",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Female",337
"2013-2014",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Male",366
"2013-2014",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Female",16377
"2013-2014",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Male",17079
"2013-2014",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Female",162
"2013-2014",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Male",167
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"OPEN ENROLLMENT CHARTER","Female",88
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"OPEN ENROLLMENT CHARTER","Male",82
"2013-2014",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Female",66
"2013-2014",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Male",84
"2013-2014",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Female",273
"2013-2014",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Male",249
"2013-2014",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Female",603
"2013-2014",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Male",628
"2013-2014",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Female",385
"2013-2014",06,"GRIMES COUNTY","ANDERSON-SHIRO CISD",093901,"TRADITIONAL ISD/CSD","Male",396
"2013-2014",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Female",1766
"2013-2014",18,"ANDREWS COUNTY","ANDREWS ISD",002901,"TRADITIONAL ISD/CSD","Male",1998
"2013-2014",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Female",3179
"2013-2014",04,"BRAZORIA COUNTY","ANGLETON ISD",020902,"TRADITIONAL ISD/CSD","Male",3409
"2013-2014",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Female",1225
"2013-2014",10,"COLLIN COUNTY","ANNA ISD",043902,"TRADITIONAL ISD/CSD","Male",1372
"2013-2014",14,"JONES COUNTY","ANSON ISD",127901,"TRADITIONAL ISD/CSD","Female",335
